,overall,relevant,irrelevant
1,0.5662402893537564,0.5549111370186223,0.5978397387591057
2,0.7161801253399235,0.723517328677577,0.6938637447606061
3,0.7646716674313958,0.7776177800442485,0.724557421863123
4,0.7898744347856037,0.8063005050627019,0.7369577761589601
5,0.8056261084211569,0.8242041558112353,0.7436096608596252
6,0.8140512387786601,0.8344517434446524,0.7436096608596252
7,0.8231777914616313,0.8440505997149429,0.7504589759281184
8,0.830221271703082,0.85098172530757,0.758034733503876
9,0.8399591830367882,0.859933822582458,0.7715787515625667
10,0.8427075518177657,0.8631814363346589,0.7715787515625667
