,accuracy,precision,recall,f1,num_records,support,group_count
overall,0.007112970711297071,0.0350744681522432,0.007112970711297071,0.009737911333706164,109182023,2390,420
relevant,0.007067137809187279,0.024098810494570213,0.007067137809187279,0.008952097274888044,93996032,1981,419
irrelevant,0.007334963325183374,0.08823529411764706,0.007334963325183374,0.013544018058690745,15185991,409,1
