,accuracy,precision,recall,f1,num_records,support,group_count
overall,0.003,0.007,0.003,0.003,90413524,1932,382
relevant,0.004,0.009,0.004,0.003,77174098,1635,381
irrelevant,0.000,0.000,0.000,0.000,13239426,297,1
