ehr_name,relevance,accuracy,precision,recall,f1,num_records,support,group_count
EPIC,zoverall,0.016,0.140,0.016,0.018,16189188,18306,1053
EPIC,relevant,0.035,0.039,0.035,0.029,5492484,6208,1052
EPIC,irrelevant,0.007,0.192,0.007,0.013,10696704,12098,1
HIX,zoverall,0.032,0.075,0.032,0.039,15424934,24205,1094
HIX,relevant,0.038,0.083,0.038,0.044,13956595,18682,1093
HIX,irrelevant,0.012,0.048,0.012,0.019,1468339,5523,1
MV,zoverall,0.030,0.189,0.030,0.038,180783344,11523,930
MV,relevant,0.048,0.066,0.048,0.045,151894253,4284,929
MV,irrelevant,0.018,0.261,0.018,0.034,28889091,7239,1
