,accuracy,precision,recall,f1,num_records,support,group_count
overall,0.005,0.042,0.005,0.005,204297617,41286,1505
relevant,0.007,0.016,0.007,0.008,167349327,24357,1504
irrelevant,0.001,0.080,0.001,0.002,36948290,16929,1
