,accuracy,precision,recall,f1,num_records,support,group_count
overall,0.001,0.065,0.001,0.002,194681118,33863,1462
relevant,0.001,0.010,0.001,0.002,160795845,20411,1461
irrelevant,0.001,0.148,0.001,0.003,33885273,13452,1
