,overall,relevant,irrelevant
1,58804,30138,28666
2,57432,29889,27543
3,54034,29174,24860
4,49443,27857,21586
5,44930,26090,18840
6,41286,24357,16929
7,38566,23069,15497
8,36009,21667,14342
9,33863,20411,13452
10,31690,19098,12592
