,zoverall,relevant,irrelevant
1,0.7706958710291817,0.6262857522065167,0.922521453987302
2,0.8664787098646741,0.7632592207066338,0.9736052139263065
3,0.8924808566611356,0.8017866766605654,0.9849085123977466
4,0.9028362153570076,0.8178329127951096,0.9879197233678197
5,0.9094464980189262,0.8276834302347417,0.9900428656183505
6,0.9141938700094314,0.8351556148223346,0.9908698489014741
7,0.9163978839076837,0.8385801239037859,0.9912570206121278
8,0.9182863006923765,0.8413954652062274,0.9917450975888396
9,0.9196447154813793,0.842669288144839,0.9932318653557144
10,0.9208122762260937,0.8445019407786226,0.9933906963595264
