ehr_name,hospital_name,relevance,accuracy,precision,recall,f1,num_records,support,group_count
EPIC,etz,zoverall,0.189,0.213,0.189,0.182,1155697,302,115
EPIC,etz,relevant,0.335,0.329,0.335,0.310,787263,158,114
EPIC,etz,irrelevant,0.028,0.085,0.028,0.042,368434,144,1
EPIC,radboud,zoverall,0.137,0.281,0.137,0.163,5758759,597,169
EPIC,radboud,relevant,0.160,0.150,0.160,0.132,867032,237,168
EPIC,radboud,irrelevant,0.122,0.367,0.122,0.183,4891727,360,1
EPIC,spaarnegasthuis,zoverall,0.158,0.172,0.158,0.153,573465,241,103
EPIC,spaarnegasthuis,relevant,0.234,0.232,0.234,0.220,335143,154,102
EPIC,spaarnegasthuis,irrelevant,0.023,0.067,0.023,0.034,238322,87,1
EPIC,stantonius,zoverall,0.146,0.198,0.146,0.155,4657313,528,167
EPIC,stantonius,relevant,0.161,0.153,0.161,0.146,2718097,311,166
EPIC,stantonius,irrelevant,0.124,0.262,0.124,0.169,1939216,217,1
HIX,bovenij,zoverall,0.112,0.106,0.112,0.109,283537,116,102
HIX,bovenij,relevant,0.116,0.110,0.116,0.112,274424,112,101
HIX,bovenij,irrelevant,0.000,0.000,0.000,0.000,9113,4,1
HIX,catharina,zoverall,0.139,0.161,0.139,0.146,1283560,201,127
HIX,catharina,relevant,0.162,0.187,0.162,0.170,1239448,173,126
HIX,catharina,irrelevant,0.000,0.000,0.000,0.000,44112,28,1
HIX,cwz,zoverall,0.092,0.123,0.092,0.098,1069770,185,133
HIX,cwz,relevant,0.100,0.134,0.100,0.107,1018458,170,132
HIX,cwz,irrelevant,0.000,0.000,0.000,0.000,51312,15,1
HIX,franciscus,zoverall,0.102,0.096,0.102,0.097,550037,197,147
HIX,franciscus,relevant,0.109,0.103,0.109,0.103,523138,184,146
HIX,franciscus,irrelevant,0.000,0.000,0.000,0.000,26899,13,1
HIX,ikazia,zoverall,0.143,0.184,0.143,0.156,103869,49,46
HIX,ikazia,relevant,0.143,0.184,0.143,0.156,103869,49,46
HIX,laurentius,zoverall,0.109,0.098,0.109,0.102,296967,110,95
HIX,laurentius,relevant,0.115,0.104,0.115,0.107,278596,104,94
HIX,laurentius,irrelevant,0.000,0.000,0.000,0.000,18371,6,1
HIX,martini,zoverall,0.169,0.243,0.169,0.187,702509,189,117
HIX,martini,relevant,0.187,0.273,0.187,0.208,677431,166,116
HIX,martini,irrelevant,0.043,0.026,0.043,0.032,25078,23,1
HIX,noordwest,zoverall,0.127,0.151,0.127,0.128,780363,173,133
HIX,noordwest,relevant,0.133,0.164,0.133,0.138,742422,158,132
HIX,noordwest,irrelevant,0.067,0.017,0.067,0.027,37941,15,1
HIX,rdgg,zoverall,0.115,0.143,0.115,0.114,4100951,130,97
HIX,rdgg,relevant,0.113,0.157,0.113,0.121,3547791,115,96
HIX,rdgg,irrelevant,0.133,0.040,0.133,0.062,553160,15,1
HIX,slingeland,zoverall,0.091,0.096,0.091,0.091,339714,99,74
HIX,slingeland,relevant,0.099,0.104,0.099,0.099,320326,91,73
HIX,slingeland,irrelevant,0.000,0.000,0.000,0.000,19388,8,1
HIX,viecuri,zoverall,0.124,0.137,0.124,0.125,386331,193,135
HIX,viecuri,relevant,0.142,0.157,0.142,0.142,376535,169,134
HIX,viecuri,irrelevant,0.000,0.000,0.000,0.000,9796,24,1
HIX,zgt,zoverall,0.157,0.215,0.157,0.164,272015,140,104
HIX,zgt,relevant,0.160,0.228,0.160,0.172,229360,131,103
HIX,zgt,irrelevant,0.111,0.026,0.111,0.043,42655,9,1
MV,albertschweitzer,zoverall,0.198,0.186,0.198,0.187,724530,177,116
MV,albertschweitzer,relevant,0.177,0.179,0.177,0.174,529680,141,115
MV,albertschweitzer,irrelevant,0.278,0.213,0.278,0.241,194850,36,1
MV,amphia,zoverall,0.144,0.143,0.144,0.141,45499985,264,172
MV,amphia,relevant,0.165,0.160,0.165,0.160,38318201,188,171
MV,amphia,irrelevant,0.092,0.101,0.092,0.097,7181784,76,1
MV,antoniuszorggroep,zoverall,0.149,0.151,0.149,0.148,588554,87,66
MV,antoniuszorggroep,relevant,0.154,0.158,0.154,0.153,582181,78,65
MV,antoniuszorggroep,irrelevant,0.111,0.091,0.111,0.100,6373,9,1
MV,geldersevallei,zoverall,0.129,0.133,0.129,0.128,33203881,194,126
MV,geldersevallei,relevant,0.135,0.142,0.135,0.135,28897433,155,125
MV,geldersevallei,irrelevant,0.103,0.095,0.103,0.099,4306448,39,1
MV,haga,zoverall,0.164,0.162,0.164,0.154,1103189,195,150
MV,haga,relevant,0.180,0.187,0.180,0.174,830889,161,149
MV,haga,irrelevant,0.088,0.043,0.088,0.058,272300,34,1
MV,jeroenbosch,zoverall,0.096,0.108,0.096,0.100,14506265,73,53
MV,jeroenbosch,relevant,0.091,0.109,0.091,0.097,13274651,55,52
MV,jeroenbosch,irrelevant,0.111,0.105,0.111,0.108,1231614,18,1
MV,maasstad,zoverall,0.148,0.141,0.148,0.138,27832757,236,142
MV,maasstad,relevant,0.160,0.155,0.160,0.150,25610091,194,141
MV,maasstad,irrelevant,0.095,0.073,0.095,0.082,2222666,42,1
MV,mst,zoverall,0.150,0.166,0.150,0.149,30299733,247,146
MV,mst,relevant,0.157,0.176,0.157,0.153,24798060,166,145
MV,mst,irrelevant,0.136,0.147,0.136,0.141,5501673,81,1
MV,umcu,zoverall,0.207,0.203,0.207,0.198,929926,140,99
MV,umcu,relevant,0.239,0.235,0.239,0.228,889405,117,98
MV,umcu,irrelevant,0.043,0.042,0.043,0.043,40521,23,1
MV,zuyderland,zoverall,0.136,0.139,0.136,0.129,1355090,198,151
MV,zuyderland,relevant,0.140,0.151,0.140,0.136,1217080,171,150
MV,zuyderland,irrelevant,0.111,0.065,0.111,0.082,138010,27,1
