,accuracy,precision,recall,f1,num_records,support,group_count
zoverall,0.005,0.028,0.005,0.007,129558306,2863,453
relevant,0.005,0.019,0.005,0.007,110782810,2364,452
irrelevant,0.004,0.069,0.004,0.008,18775496,499,1
