,accuracy,precision,recall,f1,num_records,support,group_count
zoverall,0.09894970335132824,0.1154565088010548,0.09894970335132824,0.08849226014218611,253801904,74836,1680
relevant,0.15152613456908381,0.11178290448352332,0.15152613456908381,0.11231692319870801,190207833,38627,1679
irrelevant,0.04286227181087575,0.11937543265902624,0.04286227181087575,0.06307661044503149,63594071,36209,1
