,accuracy,precision,recall,f1,num_records,support,group_count
zoverall,0.004502109255911234,0.04666612878532181,0.004502109255911234,0.004722184060250893,240794683,56418,1679
relevant,0.006933673934859958,0.014772284226844824,0.006933673934859958,0.0065394990286192336,186211945,32883,1678
irrelevant,0.0011047376248141067,0.0912280701754386,0.0011047376248141067,0.00218303946263644,54582738,23535,1
