,accuracy,precision,recall,f1,num_records,support,group_count
overall,0.008,0.034,0.008,0.007,247035688,60796,1680
relevant,0.012,0.016,0.012,0.011,188776745,34621,1679
irrelevant,0.001,0.058,0.001,0.003,58258943,26175,1
