,zoverall,relevant,irrelevant
1,76893,38824,38069
2,74836,38627,36209
3,70877,37760,33117
4,66004,36407,29597
5,60796,34621,26175
6,56418,32883,23535
7,52372,31183,21189
8,49072,29657,19415
9,46189,28245,17944
10,43338,26744,16594
