,overall,relevant,irrelevant
1,0.809891667642048,0.6800175149392128,0.9423415377341143
2,0.9088413709933763,0.8315436495082966,0.9852038095449901
3,0.9341810439479313,0.8730955562879577,0.9920582951566095
4,0.946134864928478,0.8925698332127249,0.9947612718096487
5,0.9536682552831066,0.90475896697547,0.9961366299758379
6,0.9581703645390178,0.91169264091033,0.997241367600652
7,0.9604616652340457,0.9150277914731366,0.997996476383511
8,0.9622549485728132,0.9178938939110096,0.9981509960847729
9,0.9638570616300347,0.9204076131533534,0.9983181828881612
10,0.964941560222494,0.9219780588608018,0.9986194966160147
