ehr_name,hospital_name,relevance,accuracy,precision,recall,f1,num_records,support,group_count
EPIC,amc,zoverall,0.8304213771839671,0.7678454466076426,0.8304213771839671,0.7895144045712256,10897028,5838,766
EPIC,amc,relevant,0.6557886557886557,0.6605723485832695,0.6557886557886557,0.6410256014279708,3662220,2574,765
EPIC,amc,irrelevant,0.9681372549019608,0.8524413272187752,0.9681372549019608,0.9066131114617701,7234808,3264,1
EPIC,etz,zoverall,0.8958427474017171,0.8743874300737013,0.8958427474017171,0.8801116341967594,1778533,4426,518
EPIC,etz,relevant,0.6965944272445821,0.7640654946189002,0.6965944272445821,0.7153480225028114,959695,1292,517
EPIC,etz,irrelevant,0.9779834077855776,0.9198679471788715,0.9779834077855776,0.9480358799876276,818838,3134,1
EPIC,radboud,zoverall,0.8976660682226212,0.890271664698487,0.8976660682226212,0.8906212590904756,8715926,7241,568
EPIC,radboud,relevant,0.6284615384615385,0.6815882053086486,0.6284615384615385,0.6368929362339236,1125476,1300,567
EPIC,radboud,irrelevant,0.9565729675138865,0.935935441370224,0.9565729675138865,0.9461416798468327,7590450,5941,1
EPIC,spaarnegasthuis,zoverall,0.8535638673253352,0.8088395136190087,0.8535638673253352,0.8207439105718136,923689,2834,444
EPIC,spaarnegasthuis,relevant,0.630192502532928,0.7149978748101021,0.630192502532928,0.6491985780739581,451014,987,443
EPIC,spaarnegasthuis,irrelevant,0.9729290741743367,0.8589866156787763,0.9729290741743367,0.9124143183549123,472675,1847,1
EPIC,stantonius,zoverall,0.7364212848083815,0.6520639795122408,0.7364212848083815,0.6650859007395458,6061608,7254,681
EPIC,stantonius,relevant,0.35698924731182796,0.5097567985647333,0.35698924731182796,0.38280064853526935,3261543,2790,680
EPIC,stantonius,irrelevant,0.9735663082437276,0.741005967604433,0.9735663082437276,0.8415141833672185,2800065,4464,1
EPIC,vumc,zoverall,0.8280281107895825,0.7530046639323714,0.8280281107895825,0.7822226171038952,11825937,4838,774
