,accuracy,precision,recall,f1,num_records,support,group_count
zoverall,0.005,0.047,0.005,0.005,240794683,56418,1679
relevant,0.007,0.015,0.007,0.007,186211945,32883,1678
irrelevant,0.001,0.091,0.001,0.002,54582738,23535,1
