,accuracy,precision,recall,f1,num_records,support,group_count
zoverall,0.003,0.012,0.003,0.004,159822407,3700,508
relevant,0.004,0.015,0.004,0.005,135827210,3044,507
irrelevant,0.000,0.000,0.000,0.000,23995197,656,1
