,accuracy,precision,recall,f1,num_records,support,group_count
overall,0.006703652334720295,0.021436625300253705,0.006703652334720295,0.0073734859302341214,170671296,4326,529
relevant,0.008338125359401954,0.02666326654654903,0.008338125359401954,0.009171276634328008,144227713,3478,528
irrelevant,0.0,0.0,0.0,0.0,26443583,848,1
