,accuracy,precision,recall,f1,num_records,support,group_count
overall,0.007,0.021,0.007,0.007,170671296,4326,529
relevant,0.008,0.027,0.008,0.009,144227713,3478,528
irrelevant,0.000,0.000,0.000,0.000,26443583,848,1
