,accuracy,precision,recall,f1,num_records,support,group_count
overall,0.042,0.092,0.042,0.049,178137266,5286,549
relevant,0.047,0.096,0.047,0.053,148995670,3946,548
irrelevant,0.026,0.080,0.026,0.039,29141596,1340,1
