,overall,relevant,irrelevant
1,0.56151132409085,0.5480743657790645,0.598989898989899
2,0.7122227590100441,0.7203077030918179,0.6888858871028262
3,0.7616892074978564,0.7731801248566533,0.728322506821136
4,0.7842750206275722,0.7995685461619217,0.7386852011216541
5,0.7982156780105641,0.8165633819512855,0.7420074602578668
6,0.8084330529875644,0.8284045015865309,0.7460397183223829
7,0.8158065389177985,0.8375757782208589,0.7460397183223829
8,0.8212134874484817,0.8436473880340777,0.7485972630794162
9,0.8267282997635516,0.8492168962043294,0.7538673553060302
10,0.8306597999450518,0.8539956579229728,0.7538673553060302
