,accuracy,precision,recall,f1,num_records,support,group_count
zoverall,0.00931057415207271,0.026669897712009824,0.00931057415207271,0.010217374977000227,172438966,4511,539
relevant,0.01119507416736636,0.02394826975598533,0.01119507416736636,0.011841119635245423,145665553,3573,538
irrelevant,0.0021321961620469083,0.037037037037037035,0.0021321961620469083,0.004032258064516129,26773413,938,1
