,overall,relevant,irrelevant
1,0.5997043060432452,0.5169470248556365,0.8305322128851541
2,0.7404367841990362,0.6770275685254075,0.9165919568396349
3,0.7820561561248781,0.7239104879374703,0.9427113598247095
4,0.8016986625086927,0.7478610416330664,0.9485060618114645
5,0.8142012672180071,0.7634231559341128,0.9503717334532555
6,0.8235118413700798,0.7746182301014791,0.9525039296153025
7,0.8302154937048001,0.782956355460881,0.9525039296153025
8,0.8341103330426773,0.7874595076674257,0.9537909309023038
9,0.837677212023569,0.7912001560464781,0.9565803311812439
10,0.8409204552668123,0.7951423373868197,0.9565803311812439
