ehr_name,hospital_name,relevance,accuracy,precision,recall,f1,num_records,support,group_count
EPIC,8,overall,0.182,0.215,0.182,0.179,1167688,313,116
EPIC,8,relevant,0.325,0.323,0.325,0.302,787702,160,115
EPIC,8,irrelevant,0.033,0.102,0.033,0.050,379986,153,1
EPIC,20,overall,0.131,0.288,0.131,0.159,5812118,619,170
EPIC,20,relevant,0.160,0.154,0.160,0.135,867179,238,169
EPIC,20,irrelevant,0.113,0.371,0.113,0.173,4944939,381,1
EPIC,23,overall,0.149,0.156,0.149,0.142,634295,249,103
EPIC,23,relevant,0.229,0.227,0.229,0.216,365178,157,102
EPIC,23,irrelevant,0.011,0.034,0.011,0.017,269117,92,1
EPIC,24,overall,0.138,0.196,0.138,0.149,4685095,542,167
EPIC,24,relevant,0.158,0.150,0.158,0.144,2718097,311,166
EPIC,24,irrelevant,0.113,0.257,0.113,0.157,1966998,231,1
HIX,4,overall,0.125,0.119,0.125,0.122,285767,120,102
HIX,4,relevant,0.129,0.124,0.129,0.126,276654,116,101
HIX,4,irrelevant,0.000,0.000,0.000,0.000,9113,4,1
HIX,5,overall,0.142,0.160,0.142,0.147,1340777,211,127
HIX,5,relevant,0.164,0.185,0.164,0.170,1296665,183,126
HIX,5,irrelevant,0.000,0.000,0.000,0.000,44112,28,1
HIX,6,overall,0.098,0.128,0.098,0.104,1120099,194,133
HIX,6,relevant,0.106,0.138,0.106,0.113,1068787,179,132
HIX,6,irrelevant,0.000,0.000,0.000,0.000,51312,15,1
HIX,9,overall,0.102,0.097,0.102,0.097,565184,206,147
HIX,9,relevant,0.109,0.104,0.109,0.104,538285,193,146
HIX,9,irrelevant,0.000,0.000,0.000,0.000,26899,13,1
HIX,12,overall,0.163,0.204,0.163,0.177,103869,49,46
HIX,12,relevant,0.163,0.204,0.163,0.177,103869,49,46
HIX,14,overall,0.112,0.102,0.112,0.105,308957,116,95
HIX,14,relevant,0.118,0.108,0.118,0.111,290586,110,94
HIX,14,irrelevant,0.000,0.000,0.000,0.000,18371,6,1
HIX,16,overall,0.170,0.248,0.170,0.187,717908,194,117
HIX,16,relevant,0.181,0.274,0.181,0.204,692830,171,116
HIX,16,irrelevant,0.087,0.053,0.087,0.066,25078,23,1
HIX,18,overall,0.128,0.151,0.128,0.129,784493,179,133
HIX,18,relevant,0.134,0.164,0.134,0.139,746552,164,132
HIX,18,irrelevant,0.067,0.017,0.067,0.027,37941,15,1
HIX,21,overall,0.115,0.150,0.115,0.113,4101478,131,97
HIX,21,relevant,0.112,0.164,0.112,0.120,3548318,116,96
HIX,21,irrelevant,0.133,0.041,0.133,0.062,553160,15,1
HIX,22,overall,0.085,0.090,0.085,0.085,346305,106,74
HIX,22,relevant,0.092,0.097,0.092,0.092,326917,98,73
HIX,22,irrelevant,0.000,0.000,0.000,0.000,19388,8,1
HIX,26,overall,0.130,0.150,0.130,0.133,386331,193,135
HIX,26,relevant,0.148,0.172,0.148,0.152,376535,169,134
HIX,26,irrelevant,0.000,0.000,0.000,0.000,9796,24,1
HIX,28,overall,0.161,0.218,0.161,0.167,278642,143,104
HIX,28,relevant,0.165,0.232,0.165,0.177,235276,133,103
HIX,28,irrelevant,0.100,0.027,0.100,0.043,43366,10,1
MV,0,overall,0.174,0.170,0.174,0.168,724757,178,116
MV,0,relevant,0.170,0.172,0.170,0.166,529680,141,115
MV,0,irrelevant,0.189,0.163,0.189,0.175,195077,37,1
MV,2,overall,0.140,0.139,0.140,0.137,45500147,265,172
MV,2,relevant,0.165,0.160,0.165,0.160,38318201,188,171
MV,2,irrelevant,0.078,0.090,0.078,0.083,7181946,77,1
MV,3,overall,0.149,0.151,0.149,0.148,588554,87,66
MV,3,relevant,0.154,0.158,0.154,0.153,582181,78,65
MV,3,irrelevant,0.111,0.091,0.111,0.100,6373,9,1
MV,10,overall,0.139,0.143,0.139,0.139,33203881,194,126
MV,10,relevant,0.148,0.155,0.148,0.148,28897433,155,125
MV,10,irrelevant,0.103,0.098,0.103,0.100,4306448,39,1
MV,11,overall,0.149,0.150,0.149,0.140,1103189,195,150
MV,11,relevant,0.168,0.175,0.168,0.161,830889,161,149
MV,11,irrelevant,0.059,0.029,0.059,0.039,272300,34,1
MV,13,overall,0.110,0.125,0.110,0.115,14506265,73,53
MV,13,relevant,0.109,0.127,0.109,0.115,13274651,55,52
MV,13,irrelevant,0.111,0.118,0.111,0.114,1231614,18,1
MV,15,overall,0.148,0.143,0.148,0.138,27832757,236,142
MV,15,relevant,0.155,0.155,0.155,0.146,25610091,194,141
MV,15,irrelevant,0.119,0.088,0.119,0.101,2222666,42,1
MV,17,overall,0.154,0.179,0.154,0.155,30299733,247,146
MV,17,relevant,0.169,0.200,0.169,0.168,24798060,166,145
MV,17,irrelevant,0.123,0.135,0.123,0.129,5501673,81,1
MV,25,overall,0.207,0.203,0.207,0.198,929926,140,99
MV,25,relevant,0.239,0.235,0.239,0.228,889405,117,98
MV,25,irrelevant,0.043,0.043,0.043,0.043,40521,23,1
MV,29,overall,0.131,0.147,0.131,0.131,1355248,199,151
MV,29,relevant,0.140,0.164,0.140,0.143,1217080,171,150
MV,29,irrelevant,0.071,0.045,0.071,0.056,138168,28,1
