,accuracy,precision,recall,f1,num_records,support,group_count
overall,0.732,0.699,0.732,0.690,191868579,46721,1457
relevant,0.504,0.636,0.504,0.525,151028332,21088,1456
irrelevant,0.920,0.751,0.920,0.827,40840247,25633,1
