,accuracy,precision,recall,f1,num_records,support,group_count
overall,0.002,0.057,0.002,0.002,167392445,23856,1378
relevant,0.003,0.015,0.003,0.003,136545726,12732,1377
irrelevant,0.000,0.105,0.000,0.000,30846719,11124,1
