,overall,relevant,irrelevant
1,46721,21088,25633
2,45541,20868,24673
3,42553,20287,22266
4,38594,19266,19328
5,34768,17971,16797
6,31683,16664,15019
7,29421,15704,13717
8,27297,14636,12661
9,25549,13649,11900
10,23856,12732,11124
