,accuracy,precision,recall,f1,num_records,support,group_count
overall,0.105,0.190,0.105,0.109,191426678,45541,1457
relevant,0.169,0.165,0.169,0.140,150829649,20868,1456
irrelevant,0.052,0.212,0.052,0.083,40597029,24673,1
