,accuracy,precision,recall,f1,num_records,support,group_count
zoverall,0.030,0.020,0.030,0.019,253976250,76402,1680
relevant,0.059,0.039,0.059,0.039,190203248,38344,1679
irrelevant,0.000,0.000,0.000,0.000,63773002,38058,1
