ehr_name,hospital_name,relevance,accuracy,precision,recall,f1,num_records,support,group_count
EPIC,1,overall,0.001,0.002,0.001,0.001,10784588,5516,762
EPIC,1,relevant,0.004,0.005,0.004,0.003,3549814,2263,761
EPIC,1,irrelevant,0.000,0.000,0.000,0.000,7234774,3253,1
EPIC,8,overall,0.001,0.000,0.001,0.000,1691495,4283,507
EPIC,8,relevant,0.003,0.001,0.003,0.002,909172,1170,506
EPIC,8,irrelevant,0.000,0.000,0.000,0.000,782323,3113,1
EPIC,20,overall,0.001,0.001,0.001,0.001,8626873,7084,564
EPIC,20,relevant,0.008,0.006,0.008,0.005,1084555,1177,563
EPIC,20,irrelevant,0.000,0.000,0.000,0.000,7542318,5907,1
EPIC,23,overall,0.001,0.003,0.001,0.002,874463,2775,438
EPIC,23,relevant,0.003,0.009,0.003,0.005,442219,939,437
EPIC,23,irrelevant,0.000,0.000,0.000,0.000,432244,1836,1
EPIC,24,overall,0.004,0.014,0.004,0.005,6025224,7172,674
EPIC,24,relevant,0.011,0.036,0.011,0.014,3255039,2735,673
EPIC,24,irrelevant,0.000,0.000,0.000,0.000,2770185,4437,1
EPIC,27,overall,0.002,0.003,0.002,0.002,11749351,4403,769
EPIC,27,relevant,0.006,0.008,0.006,0.006,3700406,1738,768
EPIC,27,irrelevant,0.000,0.000,0.000,0.000,8048945,2665,1
HIX,4,overall,0.002,0.000,0.002,0.000,379220,893,361
HIX,4,relevant,0.003,0.000,0.003,0.000,350584,644,360
HIX,4,irrelevant,0.000,0.000,0.000,0.000,28636,249,1
HIX,5,overall,0.001,0.000,0.001,0.000,1794560,3431,609
HIX,5,relevant,0.001,0.000,0.001,0.001,1609115,2476,608
HIX,5,irrelevant,0.000,0.000,0.000,0.000,185445,955,1
HIX,6,overall,0.001,0.000,0.001,0.001,1450433,2498,580
HIX,6,relevant,0.001,0.001,0.001,0.001,1272093,1762,579
HIX,6,irrelevant,0.000,0.000,0.000,0.000,178340,736,1
HIX,7,overall,0.003,0.005,0.003,0.002,5899898,4298,776
HIX,7,relevant,0.005,0.007,0.005,0.003,5465038,2590,775
HIX,7,irrelevant,0.000,0.000,0.000,0.000,434860,1708,1
HIX,9,overall,0.001,0.001,0.001,0.001,710776,1756,544
HIX,9,relevant,0.002,0.002,0.002,0.002,654778,1164,543
HIX,9,irrelevant,0.000,0.000,0.000,0.000,55998,592,1
HIX,12,overall,0.000,0.000,0.000,0.000,181077,822,351
HIX,12,relevant,0.000,0.000,0.000,0.000,174419,682,350
HIX,12,irrelevant,0.000,0.000,0.000,0.000,6658,140,1
HIX,14,overall,0.001,0.002,0.001,0.002,406790,840,384
HIX,14,relevant,0.001,0.003,0.001,0.002,347844,680,383
HIX,14,irrelevant,0.000,0.000,0.000,0.000,58946,160,1
HIX,16,overall,0.002,0.000,0.002,0.001,870576,1331,419
HIX,16,relevant,0.003,0.001,0.003,0.001,822927,928,418
HIX,16,irrelevant,0.000,0.000,0.000,0.000,47649,403,1
HIX,18,overall,0.002,0.007,0.002,0.001,955699,1738,461
HIX,18,relevant,0.003,0.011,0.003,0.002,892663,1144,460
HIX,18,irrelevant,0.000,0.000,0.000,0.000,63036,594,1
HIX,21,overall,0.001,0.002,0.001,0.001,6369507,1119,423
HIX,21,relevant,0.001,0.003,0.001,0.002,5742313,774,422
HIX,21,irrelevant,0.000,0.000,0.000,0.000,627194,345,1
HIX,22,overall,0.002,0.181,0.002,0.002,551082,1912,359
HIX,22,relevant,0.002,0.210,0.002,0.003,480638,1648,358
HIX,22,irrelevant,0.000,0.000,0.000,0.000,70444,264,1
HIX,26,overall,0.001,0.001,0.001,0.001,548594,2059,496
HIX,26,relevant,0.001,0.002,0.001,0.001,492191,1490,495
HIX,26,irrelevant,0.000,0.000,0.000,0.000,56403,569,1
HIX,28,overall,0.000,0.004,0.000,0.001,398548,2092,545
HIX,28,relevant,0.001,0.006,0.001,0.001,310739,1429,544
HIX,28,irrelevant,0.000,0.000,0.000,0.000,87809,663,1
MV,0,overall,0.001,0.000,0.001,0.001,1017390,1199,324
MV,0,relevant,0.002,0.001,0.002,0.001,672293,515,323
MV,0,irrelevant,0.000,0.000,0.000,0.000,345097,684,1
