,accuracy,precision,recall,f1,num_records,support,group_count
zoverall,0.40930903983457534,0.2776948702171149,0.40930903983457534,0.3119164419731138,254205443,76893,1680
relevant,0.8106583556562951,0.5499894821657897,0.8106583556562951,0.6177671278755059,190428791,38824,1679
irrelevant,0.0,0.0,0.0,0.0,63776652,38069,1
