,overall,relevant,irrelevant
1,76893,38824,38069
2,76402,38344,38058
3,74904,36891,38013
4,73091,35262,37829
5,71207,33635,37572
6,69637,32280,37357
7,67953,30824,37129
8,66186,29401,36785
9,64350,28019,36331
10,62407,26647,35760
