ehr_name,hospital_name,relevance,accuracy,precision,recall,f1,num_records,support,group_count
EPIC,8,overall,0.003,0.133,0.003,0.004,235666,1694,395
EPIC,8,relevant,0.003,0.006,0.003,0.003,93917,921,394
EPIC,8,irrelevant,0.003,0.286,0.003,0.005,141749,773,1
EPIC,20,overall,0.000,0.000,0.000,0.000,1635508,2813,407
EPIC,20,relevant,0.001,0.000,0.001,0.001,103222,771,406
EPIC,20,irrelevant,0.000,0.000,0.000,0.000,1532286,2042,1
EPIC,23,overall,0.003,0.006,0.003,0.003,92924,1184,346
EPIC,23,relevant,0.004,0.011,0.004,0.006,55861,701,345
EPIC,23,irrelevant,0.000,0.000,0.000,0.000,37063,483,1
EPIC,24,overall,0.020,0.140,0.020,0.028,597090,3874,559
EPIC,24,relevant,0.033,0.099,0.033,0.046,331520,2282,558
EPIC,24,irrelevant,0.001,0.200,0.001,0.001,265570,1592,1
HIX,4,overall,0.001,0.001,0.001,0.001,111666,758,283
HIX,4,relevant,0.002,0.002,0.002,0.002,92868,566,282
HIX,4,irrelevant,0.000,0.000,0.000,0.000,18798,192,1
HIX,5,overall,0.001,0.020,0.001,0.001,543177,2947,518
HIX,5,relevant,0.000,0.004,0.000,0.001,445630,2247,517
HIX,5,irrelevant,0.001,0.071,0.001,0.003,97547,700,1
HIX,6,overall,0.000,0.000,0.000,0.000,425035,2196,481
HIX,6,relevant,0.000,0.000,0.000,0.000,339844,1652,480
HIX,6,irrelevant,0.000,0.000,0.000,0.000,85191,544,1
HIX,9,overall,0.002,0.001,0.002,0.002,165684,1467,457
HIX,9,relevant,0.003,0.002,0.003,0.002,145673,1029,456
HIX,9,irrelevant,0.000,0.000,0.000,0.000,20011,438,1
HIX,12,overall,0.003,0.002,0.003,0.002,77286,773,318
HIX,12,relevant,0.003,0.002,0.003,0.003,70635,638,317
HIX,12,irrelevant,0.000,0.000,0.000,0.000,6651,135,1
HIX,14,overall,0.007,0.007,0.007,0.006,131857,754,316
HIX,14,relevant,0.008,0.009,0.008,0.008,92947,622,315
HIX,14,irrelevant,0.000,0.000,0.000,0.000,38910,132,1
HIX,16,overall,0.004,0.012,0.004,0.005,215683,1154,330
HIX,16,relevant,0.006,0.018,0.006,0.008,193519,786,329
HIX,16,irrelevant,0.000,0.000,0.000,0.000,22164,368,1
HIX,18,overall,0.003,0.003,0.003,0.003,216527,1419,370
HIX,18,relevant,0.004,0.005,0.004,0.004,199878,986,369
HIX,18,irrelevant,0.000,0.000,0.000,0.000,16649,433,1
HIX,21,overall,0.002,0.003,0.002,0.002,2279323,959,348
HIX,21,relevant,0.003,0.005,0.003,0.004,2216547,662,347
HIX,21,irrelevant,0.000,0.000,0.000,0.000,62776,297,1
HIX,22,overall,0.001,0.001,0.001,0.001,229763,1732,310
HIX,22,relevant,0.001,0.001,0.001,0.001,181340,1504,309
HIX,22,irrelevant,0.000,0.000,0.000,0.000,48423,228,1
HIX,26,overall,0.002,0.006,0.002,0.002,159521,1796,380
HIX,26,relevant,0.002,0.008,0.002,0.003,117529,1301,379
HIX,26,irrelevant,0.000,0.000,0.000,0.000,41992,495,1
HIX,28,overall,0.004,0.074,0.004,0.005,125625,1914,462
HIX,28,relevant,0.004,0.013,0.004,0.005,84680,1291,461
HIX,28,irrelevant,0.003,0.200,0.003,0.006,40945,623,1
MV,0,overall,0.004,0.623,0.004,0.004,325774,978,233
MV,0,relevant,0.008,0.004,0.008,0.004,170460,370,232
MV,0,irrelevant,0.002,1.000,0.002,0.003,155314,608,1
MV,2,overall,0.002,0.372,0.002,0.002,6302475,1297,272
MV,2,relevant,0.003,0.003,0.003,0.003,4572294,334,271
MV,2,irrelevant,0.001,0.500,0.001,0.002,1730181,963,1
MV,3,overall,0.008,0.668,0.008,0.012,85872,391,93
MV,3,relevant,0.015,0.037,0.015,0.019,71254,135,92
MV,3,irrelevant,0.004,1.000,0.004,0.008,14618,256,1
MV,10,overall,0.005,0.019,0.005,0.008,2864678,738,133
MV,10,relevant,0.020,0.071,0.020,0.029,1392588,197,132
MV,10,irrelevant,0.000,0.000,0.000,0.000,1472090,541,1
MV,11,overall,0.000,0.000,0.000,0.000,2406880,1031,268
MV,11,relevant,0.000,0.000,0.000,0.000,2176120,323,267
MV,11,irrelevant,0.000,0.000,0.000,0.000,230760,708,1
MV,13,overall,0.008,0.007,0.008,0.007,5556890,709,152
MV,13,relevant,0.030,0.023,0.030,0.025,3508794,200,151
MV,13,irrelevant,0.000,0.000,0.000,0.000,2048096,509,1
MV,15,overall,0.003,0.366,0.003,0.004,4058149,720,162
MV,15,relevant,0.005,0.005,0.005,0.005,3319549,195,161
MV,15,irrelevant,0.002,0.500,0.002,0.004,738600,525,1
MV,17,overall,0.004,0.813,0.004,0.004,2161588,1612,250
MV,17,relevant,0.016,0.032,0.016,0.014,1293018,312,249
MV,17,irrelevant,0.001,1.000,0.001,0.002,868570,1300,1
MV,25,overall,0.004,0.093,0.004,0.005,387510,723,169
MV,25,relevant,0.010,0.010,0.010,0.010,145922,200,168
MV,25,irrelevant,0.002,0.125,0.002,0.004,241588,523,1
MV,29,overall,0.004,0.002,0.004,0.003,466500,1142,390
MV,29,relevant,0.007,0.004,0.007,0.005,268165,559,389
MV,29,irrelevant,0.000,0.000,0.000,0.000,198335,583,1
