,overall,relevant,irrelevant
1,0.7573151748145825,0.661195380872836,0.8496131853346787
2,0.8512300671840951,0.7737598479665713,0.9250361934576076
3,0.8791756608477488,0.8097088999311808,0.9443971253008312
4,0.8904671195227013,0.8258945972383205,0.9499306844288186
5,0.8977324617511391,0.8355999958279724,0.9541249449144698
6,0.9024894945808163,0.84287105043429,0.9556144254581301
7,0.9045155531274289,0.845802090539575,0.9564301970420866
8,0.9067553046937165,0.8490476277058225,0.9573104141623097
9,0.9085348581608985,0.850067058228488,0.960116775247436
10,0.9096734897685892,0.8518039042381514,0.9604508044749934
