,accuracy,precision,recall,f1,num_records,support,group_count
overall,0.001068875676397889,0.08465807567470687,0.001068875676397889,0.001779553467182087,28837590,29938,1392
relevant,0.0008138115444980527,0.004048989122359754,0.0008138115444980527,0.0010194305226654693,19560630,17203,1391
irrelevant,0.0014134275618374558,0.19354838709677422,0.0014134275618374558,0.002806361085126286,9276960,12735,1
