,accuracy,precision,recall,f1,num_records,support,group_count
overall,0.001,0.030,0.001,0.001,27281095,27990,1375
relevant,0.001,0.014,0.001,0.002,19388187,16054,1374
irrelevant,0.000,0.051,0.000,0.000,7892908,11936,1
