,accuracy,precision,recall,f1,num_records,support,group_count
overall,0.004,0.051,0.004,0.005,31858651,36775,1433
relevant,0.007,0.014,0.007,0.007,21683774,20784,1432
irrelevant,0.001,0.098,0.001,0.001,10174877,15991,1
